"index","Date","Open","High","Low","Close"
"163",2001-08-23,1162.09,1169.86,1160.96,1162.09
"164",2001-08-24,1184.93,1185.15,1162.09,1184.93
"165",2001-08-27,1179.21,1186.85,1178.07,1179.21
"166",2001-08-28,1161.51,1179.66,1161.17,1161.51
"167",2001-08-29,1148.6,1166.97,1147.38,1148.6
"168",2001-08-30,1129.03,1151.75,1124.87,1129.03
"169",2001-08-31,1133.59,1141.83,1126.38,1133.59
"170",2001-09-04,1132.94,1155.4,1129.06,1132.94
"171",2001-09-05,1131.74,1135.52,1114.86,1131.74
"172",2001-09-06,1106.4,1131.74,1105.83,1106.4
"173",2001-09-07,1085.78,1106.4,1082.12,1085.78
"174",2001-09-10,1092.54,1096.94,1073.15,1092.54
"175",2001-09-17,1038.77,1092.54,1037.46,1038.77
"176",2001-09-18,1032.74,1046.42,1029.25,1032.74
"177",2001-09-19,1016.1,1038.91,984.62,1016.1
"178",2001-09-20,984.54,1016.1,984.49,984.54
"179",2001-09-21,965.8,984.54,944.75,965.8
"180",2001-09-24,1003.45,1008.44,965.8,1003.45
"181",2001-09-25,1012.27,1017.14,998.33,1012.27
"182",2001-09-26,1007.04,1020.29,1002.62,1007.04
"183",2001-09-27,1018.61,1018.92,998.24,1018.61
"184",2001-09-28,1040.94,1040.94,1018.61,1040.94
"185",2001-10-01,1038.55,1040.94,1026.76,1038.55
"186",2001-10-02,1051.33,1051.33,1034.47,1051.33
"187",2001-10-03,1072.28,1075.38,1041.48,1072.28
"188",2001-10-04,1069.63,1084.12,1067.82,1069.63
"189",2001-10-05,1071.38,1072.35,1053.5,1071.38
"190",2001-10-08,1062.44,1071.37,1056.88,1062.44
"191",2001-10-09,1056.75,1063.37,1053.83,1056.75
"192",2001-10-10,1080.99,1081.62,1052.7,1080.99
"193",2001-10-11,1097.43,1099.16,1080.99,1097.43
"194",2001-10-12,1091.65,1097.43,1072.15,1091.65
"195",2001-10-15,1089.98,1091.65,1078.19,1089.98
"196",2001-10-16,1097.55,1101.66,1087.13,1097.55
"197",2001-10-17,1077.09,1107.12,1076.57,1077.09
"198",2001-10-18,1068.61,1077.94,1064.54,1068.61
"199",2001-10-19,1073.48,1075.52,1057.24,1073.48
"200",2001-10-22,1089.9,1090.57,1070.32,1089.9
"201",2001-10-23,1084.78,1098.99,1081.53,1084.78
"202",2001-10-24,1085.2,1090.26,1079.98,1085.2
"203",2001-10-25,1100.09,1100.09,1065.64,1100.09
"204",2001-10-26,1104.61,1110.61,1094.24,1104.61
"205",2001-10-29,1078.3,1104.61,1078.3,1078.3
"206",2001-10-30,1059.79,1078.3,1053.61,1059.79
"207",2001-10-31,1059.78,1074.79,1057.55,1059.78
"208",2001-11-01,1084.1,1085.61,1054.31,1084.1
"209",2001-11-02,1087.2,1089.63,1075.58,1087.2
"210",2001-11-05,1102.84,1106.72,1087.2,1102.84
"211",2001-11-06,1118.86,1119.73,1095.36,1118.86
"212",2001-11-07,1115.8,1126.62,1112.98,1115.8
"213",2001-11-08,1118.54,1135.75,1115.42,1118.54
"214",2001-11-09,1120.31,1123.02,1111.13,1120.31
"215",2001-11-12,1118.33,1121.71,1098.32,1118.33
"216",2001-11-13,1139.09,1139.14,1118.33,1139.09
"217",2001-11-14,1141.21,1148.28,1132.87,1141.21
"218",2001-11-15,1142.24,1146.46,1135.06,1142.24
"219",2001-11-16,1138.65,1143.52,1129.92,1138.65
"220",2001-11-19,1151.06,1151.06,1138.65,1151.06
"221",2001-11-20,1142.66,1152.45,1142.17,1142.66
"222",2001-11-21,1137.03,1142.66,1129.78,1137.03
"223",2001-11-23,1150.34,1151.05,1135.9,1150.34
"224",2001-11-26,1157.42,1157.88,1146.17,1157.42
"225",2001-11-27,1149.5,1163.38,1140.81,1149.5
